State,District,Date,final_risk_score,final_risk_category,Population,affected_population,total_health_facilities,total_schools,population_impact_score,priority_score,response_priority,priority_rank
CHHATTISGARH,RAIPUR,2026-09-03,32.1,MEDIUM,4063872.0,1304503,262,32,49.53092856703499,39.07,MEDIUM,341
UTTAR PRADESH,BIJNOR,2026-09-07,33.7,MEDIUM,3682713.0,1241074,262,3,47.12258050798226,39.07,MEDIUM,341
ANDHRA PRADESH,PARVATHIPURAM MANYAM,2026-09-11,32.13,MEDIUM,4053463.0,1302378,640,40,49.45024402801519,39.06,MEDIUM,342
UTTAR PRADESH,BANDA,2026-09-03,44.73,MEDIUM,1799410.0,804876,262,3,30.560493660283537,39.06,MEDIUM,342
ASSAM,CACHAR,2026-08-20,45.19,MEDIUM,1736617.0,784777,176,22,29.797350813338124,39.03,MEDIUM,343
ASSAM,GOALPARA,2026-08-29,51.83,HIGH,1008183.0,522541,154,1,19.84046103715134,39.03,MEDIUM,343
UTTAR PRADESH,BALLIA,2026-08-29,35.73,MEDIUM,3239774.0,1157571,262,7,43.95203883185494,39.02,MEDIUM,344
UTTAR PRADESH,HARDOI,2026-09-02,31.9,MEDIUM,4092845.0,1305618,262,4,49.573264219273625,38.97,MEDIUM,345
WEST BENGAL,EASTMEDNIPUR,2026-08-29,32.8,MEDIUM,3872846.0,1270293,522,9,48.23200241180325,38.97,MEDIUM,345
UTTAR PRADESH,SITAPUR,2026-08-27,30.41,MEDIUM,4483992.0,1363582,262,4,51.77411062856483,38.96,MEDIUM,346
PUNJAB,HOSHIARPUR,2026-08-19,46.25,MEDIUM,1586625.0,733814,223,11,27.86232673707168,38.89,MEDIUM,347
BIHAR,GOPALGANJ,2026-08-30,39.32,MEDIUM,2562012.0,1007383,204,2,38.24952139829913,38.89,MEDIUM,347
UTTAR PRADESH,AZAMGARH,2026-08-30,29.89,MEDIUM,4613913.0,1379099,262,4,52.36327862478613,38.88,MEDIUM,348
JHARKHAND,GIRIDIH,2026-09-01,40.02,MEDIUM,2445474.0,978679,181,1,37.15965362981706,38.88,MEDIUM,348
UTTAR PRADESH,GORAKHPUR,2026-09-02,30.49,MEDIUM,4440895.0,1354029,262,2,51.41139091032664,38.86,MEDIUM,349
BIHAR,MUZAFFARPUR,2026-08-30,29.23,MEDIUM,4801062.0,1403350,237,11,53.28406956867754,38.85,MEDIUM,350
KARNATAKA,BIJAAPUR,2026-08-25,45.42,MEDIUM,1681378.0,763682,300,21,28.996390648339187,38.85,MEDIUM,350
MAHARASHTRA,PUNE,2026-08-19,19.12,LOW,9429408.0,1802903,529,175,68.45477527172655,38.85,MEDIUM,350
WEST BENGAL,KALIMPONG,2026-08-31,32.68,MEDIUM,3872846.0,1265646,522,9,48.05555956341501,38.83,MEDIUM,351
UTTAR PRADESH,BALLIA,2026-08-30,35.56,MEDIUM,3239774.0,1152064,262,7,43.742942475910446,38.83,MEDIUM,351
WEST BENGAL,MURSIDABAD,2026-09-10,32.67,MEDIUM,3872846.0,1265259,522,9,48.0408654850147,38.82,MEDIUM,352
UTTAR PRADESH,BAHRAICH,2026-09-11,34.33,MEDIUM,3487731.0,1197338,262,4,45.46195980277282,38.78,MEDIUM,353
MADHYA PRADESH,SHIVPURI,2026-09-05,44.98,MEDIUM,1726050.0,776377,267,2,29.4784095767422,38.78,MEDIUM,353
MADHYA PRADESH,BHOPAL,2026-09-05,40.38,MEDIUM,2371061.0,957434,75,35,36.3529980855932,38.77,MEDIUM,354
JHARKHAND,RANCHI,2026-08-19,37.18,MEDIUM,2914253.0,1083519,404,12,41.14034401609286,38.76,MEDIUM,355
WEST BENGAL,HUGLI,2026-09-11,26.94,MEDIUM,5519145.0,1486858,655,22,56.45480109077903,38.75,MEDIUM,356
UTTAR PRADESH,BANDA,2026-08-28,44.36,MEDIUM,1799410.0,798218,262,3,30.307694761086434,38.74,MEDIUM,357
UTTAR PRADESH,MIRZAPUR,2026-08-19,39.55,MEDIUM,2496970.0,987552,262,4,37.49655429556892,38.73,MEDIUM,358
RAJASTHAN,ALWAR,2026-09-05,33.4,MEDIUM,3674179.0,1227176,613,12,46.59488463819534,38.68,MEDIUM,359
UTTAR PRADESH,KANPUR,2026-09-01,39.1,MEDIUM,2559297.0,1000685,262,4,37.99520373130871,38.66,MEDIUM,360
BIHAR,GAYA,2026-08-19,30.48,MEDIUM,4391418.0,1338504,486,38,50.82191916054667,38.62,MEDIUM,361
ASSAM,GOLAGHAT,2026-08-31,50.68,HIGH,1066888.0,540699,153,3,20.5299056769262,38.62,MEDIUM,361
ASSAM,MAJULI,2026-08-31,51.25,HIGH,1008183.0,516694,141,4,19.618455154963677,38.6,MEDIUM,362
UTTAR PRADESH,PRATAPGARH,2026-09-03,35.5,MEDIUM,3209141.0,1139245,262,4,43.25621536734816,38.6,MEDIUM,362
BIHAR,PURBA CHAMPARAN,2026-08-30,28.07,MEDIUM,5099371.0,1431393,433,6,54.34883969937511,38.58,MEDIUM,363
ODISHA,KENDUJHAR,2026-08-24,45.31,MEDIUM,1648902.0,747117,262,1,28.367430935933054,38.53,MEDIUM,364
KERALA,PALAKKAD,2026-08-24,37.52,MEDIUM,2809934.0,1054287,575,224,40.03042851273905,38.52,MEDIUM,365
UTTAR PRADESH,FATEHPUR,2026-09-03,38.44,MEDIUM,2632733.0,1012023,262,4,38.425698462323545,38.43,MEDIUM,366
WEST BENGAL,JHARGRAM,2026-08-27,32.33,MEDIUM,3872846.0,1252091,522,9,47.54088712745575,38.41,MEDIUM,367
UTTAR PRADESH,BALARAMPUR,2026-08-30,38.85,MEDIUM,2559297.0,994287,262,4,37.75227682276815,38.41,MEDIUM,367
KERALA,KOZIKOD,2026-08-25,38.72,MEDIUM,2579189.0,998662,427,212,37.91839205016186,38.4,MEDIUM,368
