State,District,Date,final_risk_score,final_risk_category,Population,affected_population,total_health_facilities,total_schools,population_impact_score,priority_score,response_priority,priority_rank
TRIPURA,WEST TRIPURA,2026-09-07,11.18,LOW,1725739.0,192938,12,8,7.325700512660068,9.64,LOW,2665
ODISHA,KALAHANDI,2026-08-26,11.34,LOW,1648902.0,186985,262,4,7.099669895820123,9.64,LOW,2665
ANDHRA PRADESH,NANDYAL,2026-09-08,7.93,LOW,4053463.0,321440,640,40,12.204817987070731,9.64,LOW,2665
ODISHA,KANDHAMAL,2026-08-20,11.34,LOW,1648902.0,186985,262,4,7.099669895820123,9.64,LOW,2665
ODISHA,PURI,2026-09-04,11.34,LOW,1648902.0,186985,262,27,7.099669895820123,9.64,LOW,2665
MADHYA PRADESH,BHOPAL,2026-08-26,10.03,LOW,2371061.0,237817,75,35,9.029720007563464,9.63,LOW,2666
NCT OF DELHI,NORTH EAST DELHI,2026-09-06,15.49,LOW,142004.0,21996,262,10,0.8351704095433293,9.63,LOW,2666
UTTARAKHAND,TEHRI GARWAL,2026-08-25,14.6,LOW,391605.0,57174,266,2,2.170850745373264,9.63,LOW,2666
CHHATTISGARH,MAHASAMUND,2026-08-19,12.73,LOW,1032754.0,131470,262,2,4.991810044674554,9.63,LOW,2666
ASSAM,HAILAKANDI,2026-09-07,13.75,LOW,659296.0,90653,87,4,3.442021419182189,9.63,LOW,2666
PUNJAB,GURDASPUR,2026-08-25,10.14,LOW,2298323.0,233050,205,2,8.848720855795277,9.62,LOW,2667
BIHAR,MUNGER,2026-08-26,11.91,LOW,1367765.0,162901,160,2,6.185219807465807,9.62,LOW,2667
WEST BENGAL,DARJEELING,2026-08-27,8.09,LOW,3872846.0,313313,522,9,11.896242340664172,9.61,LOW,2668
WEST BENGAL,BANKURA,2026-09-09,8.38,LOW,3596674.0,301401,660,5,11.443953291815284,9.61,LOW,2668
BIHAR,BHAGALPUR,2026-09-09,9.05,LOW,3037766.0,274918,285,1,10.438415105056963,9.61,LOW,2668
BIHAR,BHAGALPUR,2026-08-21,9.05,LOW,3037766.0,274918,285,1,10.438415105056963,9.61,LOW,2668
BIHAR,PURBA CHAMPARAN,2026-09-07,6.99,LOW,5099371.0,356446,433,6,13.533967621389415,9.61,LOW,2668
CHHATTISGARH,JANJGIR_CHAMPA,2026-09-02,11.77,LOW,1413199.0,166334,262,2,6.315568053326976,9.59,LOW,2669
MAHARASHTRA,SATARA,2026-09-09,9.08,LOW,3003741.0,272740,318,14,10.35571819871102,9.59,LOW,2669
ASSAM,BAKSA,2026-09-08,12.88,LOW,950075.0,122370,177,4,4.6462903716956365,9.59,LOW,2669
MAHARASHTRA,SANGLI,2026-08-28,9.32,LOW,2822143.0,263024,431,15,9.986809501715069,9.59,LOW,2669
MEGHALAYA,SOUTH WEST KHASI HILLS,2026-08-24,14.56,LOW,383461.0,55832,262,2,2.1198960859075813,9.58,LOW,2670
TRIPURA,NORTH TRIPURA,2026-09-03,13.58,LOW,693947.0,94238,24,4,3.57814098265795,9.58,LOW,2670
MAHARASHTRA,BHANDARA,2026-09-07,12.24,LOW,1200334.0,146921,220,8,5.578472074036892,9.58,LOW,2670
UTTARAKHAND,TEHRI GARWAL,2026-09-08,14.52,LOW,391605.0,56861,266,2,2.158966387390582,9.58,LOW,2670
MANIPUR,TAMENGLONG,2026-08-21,15.41,LOW,140651.0,21674,262,6,0.8229443288071521,9.58,LOW,2670
WEST BENGAL,HUGLI,2026-08-19,6.64,LOW,5519145.0,366471,655,22,13.914608799588718,9.55,LOW,2671
ANDHRA PRADESH,SRI ALLURI SITHARAMARAJU DISTRICT,2026-08-19,7.86,LOW,4053463.0,318602,640,40,12.097061412135108,9.55,LOW,2671
RAJASTHAN,RAJSMAND,2026-09-08,10.56,LOW,2003370.5,211556,257,7,8.032610982058037,9.55,LOW,2671
MAHARASHTRA,BHANDARA,2026-08-27,12.21,LOW,1200334.0,146561,220,8,5.564803163897067,9.55,LOW,2671
KERALA,ERNAKULAM,2026-09-05,8.68,LOW,3282388.0,284911,328,217,10.817841269021615,9.54,LOW,2672
KERALA,ERNAKULAM,2026-09-04,8.68,LOW,3282388.0,284911,328,217,10.817841269021615,9.54,LOW,2672
MADHYA PRADESH,DAMOH,2026-09-05,12.04,LOW,1264219.0,152212,182,2,5.779367083897492,9.54,LOW,2672
KERALA,ERNAKULAM,2026-09-03,8.68,LOW,3282388.0,284911,328,217,10.817841269021615,9.54,LOW,2672
KERALA,ERNAKULAM,2026-09-06,8.68,LOW,3282388.0,284911,328,217,10.817841269021615,9.54,LOW,2672
KERALA,ERNAKULAM,2026-09-10,8.68,LOW,3282388.0,284911,328,217,10.817841269021615,9.54,LOW,2672
KERALA,ERNAKULAM,2026-09-02,8.68,LOW,3282388.0,284911,328,217,10.817841269021615,9.54,LOW,2672
KERALA,ERNAKULAM,2026-09-08,8.68,LOW,3282388.0,284911,328,217,10.817841269021615,9.54,LOW,2672
KERALA,ERNAKULAM,2026-09-07,8.68,LOW,3282388.0,284911,328,217,10.817841269021615,9.54,LOW,2672
ANDHRA PRADESH,TIRUPATI,2026-09-07,7.84,LOW,4053463.0,317791,640,40,12.066268395125666,9.53,LOW,2673
JAMMU AND KASHMIR,RIASI,2026-08-30,13.83,LOW,588437.5,81381,262,4,3.089971044692021,9.53,LOW,2673
UTTAR PRADESH,BALARAMPUR,2026-08-29,9.64,LOW,2559297.0,246716,262,4,9.36760787238098,9.53,LOW,2673
HIMACHAL PRADESH,LAHUL&SPITI,2026-08-19,13.99,LOW,529855.0,74127,262,15,2.8145425053745394,9.52,LOW,2674
RAJASTHAN,DAUSA,2026-09-03,11.22,LOW,1634409.0,183381,339,1,6.962828917642538,9.52,LOW,2674
ASSAM,BAKSA,2026-08-25,12.78,LOW,950075.0,121420,177,4,4.61021963660443,9.51,LOW,2675
DADRA & NAGAR HAVELI,DADAR & NAGAR HAVELI,2026-09-01,11.18,LOW,1648902.0,184347,262,4,6.999507159851069,9.51,LOW,2675
UTTAR PRADESH,ETAWAH,2026-08-28,11.32,LOW,1581810.0,179061,262,1,6.798801995964634,9.51,LOW,2675
UTTARAKHAND,UDHAM SINGH NAGAR,2026-08-24,11.18,LOW,1648902.0,184347,140,15,6.999507159851069,9.51,LOW,2675
MAHARASHTRA,RATNAGIRI,2026-08-24,11.24,LOW,1615069.0,181534,409,18,6.892699814786267,9.5,LOW,2676
ODISHA,KANDHAMAL,2026-09-02,11.17,LOW,1648902.0,184182,262,4,6.99324224270365,9.5,LOW,2676
CHHATTISGARH,KHAIRAGARH-CHHUIKHADAN-GANDAI,2026-09-11,11.66,LOW,1413199.0,164779,262,2,6.256525955361895,9.5,LOW,2676
JHARKHAND,BOKARO,2026-08-27,10.4,LOW,2062330.0,214482,122,3,8.14370884613895,9.5,LOW,2676
RAJASTHAN,JODHPUR,2026-08-21,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-08-29,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
UTTAR PRADESH,FATEHPUR,2026-09-07,9.49,LOW,2632733.0,249846,262,4,9.486451452207795,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-08-22,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-08-25,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-08-28,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
UTTAR PRADESH,MAINPURI,2026-08-28,10.74,LOW,1868529.0,200680,262,1,7.619658019055979,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-09-07,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-08-26,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
JHARKHAND,EAST SINGHBHUM,2026-09-11,11.87,LOW,1313551.0,155919,144,3,5.92011888914286,9.49,LOW,2677
ODISHA,PURI,2026-09-05,11.16,LOW,1648902.0,184017,262,27,6.98697732555623,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-09-01,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-08-23,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-09-05,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-09-10,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-09-08,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-09-04,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-08-24,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-09-03,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-08-30,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-08-27,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-08-31,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-09-06,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-08-20,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-08-19,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-09-09,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-09-11,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
RAJASTHAN,JODHPUR,2026-09-02,8.18,LOW,3687165.0,301610,397,21,11.45188885353535,9.49,LOW,2677
TRIPURA,UNAKOTI,2026-09-08,13.18,LOW,784974.0,103460,26,4,3.928292897406476,9.48,LOW,2678
KERALA,IDUKKI,2026-09-04,12.34,LOW,1108974.0,136847,185,149,5.19597040529078,9.48,LOW,2678
RAJASTHAN,SIROHI,2026-08-27,12.52,LOW,1036346.0,129751,185,5,4.926540998756888,9.48,LOW,2678
UTTAR PRADESH,SHRAWASTI,2026-08-28,12.32,LOW,1117361.0,137659,262,2,5.226801391495052,9.48,LOW,2678
BIHAR,KISHANGANJ,2026-08-27,11.06,LOW,1690400.0,186958,143,8,7.098644727559636,9.48,LOW,2678
KARNATAKA,CHITRADURGA,2026-09-03,11.11,LOW,1659456.0,184366,389,4,7.000228574552894,9.47,LOW,2679
MADHYA PRADESH,NARSHIMAPURA,2026-08-24,11.69,LOW,1382506.0,161615,168,2,6.136391422910764,9.47,LOW,2679
WEST BENGAL,DARJEELING,2026-08-24,7.97,LOW,3872846.0,308666,522,9,11.719799492275929,9.47,LOW,2679
ODISHA,KALAHANDI,2026-08-20,11.14,LOW,1648902.0,183688,262,4,6.974485460456223,9.47,LOW,2679
TELANGANA,RAJANNA SIRCILLA,2026-09-06,11.14,LOW,1648902.0,183688,680,4,6.974485460456223,9.47,LOW,2679
WEST BENGAL,ALIPURDUAR,2026-09-04,7.97,LOW,3872846.0,308666,522,9,11.719799492275929,9.47,LOW,2679
PUNJAB,GURDASPUR,2026-09-06,9.98,LOW,2298323.0,229373,205,2,8.709108126394893,9.47,LOW,2679
UTTAR PRADESH,KUSHINAGAR,2026-09-04,8.3,LOW,3564544.0,295857,262,4,11.233452075661972,9.47,LOW,2679
MEGHALAYA,RI BHOI,2026-08-28,14.37,LOW,383461.0,55103,262,2,2.0922165428744357,9.46,LOW,2680
ASSAM,BAKSA,2026-08-22,12.71,LOW,950075.0,120755,177,4,4.584970122040586,9.46,LOW,2680
ODISHA,CUTTACK,2026-08-27,11.11,LOW,1648902.0,183193,262,20,6.955690709013964,9.45,LOW,2681
JAMMU AND KASHMIR,BADGAM,2026-09-04,13.23,LOW,753745.0,99720,262,4,3.786288108731624,9.45,LOW,2681
JHARKHAND,DHANBAD,2026-08-28,9.38,LOW,2684487.0,251805,134,9,9.560833104885344,9.45,LOW,2681
TAMIL NADU,RAMANATHAPURAM,2026-08-20,11.73,LOW,1353445.0,158759,262,4,6.027951402468149,9.45,LOW,2681
ODISHA,PURI,2026-09-07,11.11,LOW,1648902.0,183193,262,27,6.955690709013964,9.45,LOW,2681
MADHYA PRADESH,BETUL,2026-08-22,11.25,LOW,1575362.0,177228,349,2,6.729204461836023,9.44,LOW,2682
TAMIL NADU,DINDIGUL,2026-08-21,10.17,LOW,2159775.0,219649,262,42,8.339895675840276,9.44,LOW,2682
TELANGANA,MANCHERIAL,2026-08-25,11.1,LOW,1648902.0,183028,680,4,6.949425791866543,9.44,LOW,2682
BIHAR,BHAGALPUR,2026-08-24,8.89,LOW,3037766.0,270057,285,1,10.25384684897449,9.44,LOW,2682
KARNATAKA,GADAG,2026-08-20,12.4,LOW,1064570.0,132007,188,6,5.012199502299794,9.44,LOW,2682
MADHYA PRADESH,VIDESHA,2026-08-21,11.65,LOW,1382506.0,161062,229,2,6.115394458168199,9.44,LOW,2682
UTTAR PRADESH,ETAH,2026-08-22,10.85,LOW,1774480.0,192531,262,2,7.3102470503631,9.43,LOW,2683
MEGHALAYA,RI BHOI,2026-08-24,14.32,LOW,383461.0,54912,262,2,2.084964426661361,9.43,LOW,2683
RAJASTHAN,CHITTAURGARH,2026-09-05,11.3,LOW,1544338.0,174510,374,7,6.626004190280342,9.43,LOW,2683
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-08-24,11.09,LOW,1648902.0,182863,37,4,6.943160874719123,9.43,LOW,2683
MAHARASHTRA,YAVATMAL,2026-08-25,9.24,LOW,2772348.0,256165,513,14,9.726378794356563,9.43,LOW,2683
BIHAR,MUNGER,2026-09-08,11.68,LOW,1367765.0,159755,160,2,6.065768720521667,9.43,LOW,2683
UTTAR PRADESH,HATHRAS,2026-09-03,9.54,LOW,2559297.0,244157,262,4,9.27044470280372,9.43,LOW,2683
ANDHRA PRADESH,ELURU,2026-09-06,7.76,LOW,4053463.0,314549,640,40,11.943172265477571,9.43,LOW,2683
CHHATTISGARH,MAHASAMUND,2026-09-02,12.45,LOW,1032754.0,128578,262,2,4.882003133217958,9.42,LOW,2684
TAMIL NADU,THANJAVUR,2026-09-03,9.76,LOW,2405890.0,234815,262,43,8.915736484675254,9.42,LOW,2684
UTTAR PRADESH,KAUSHAMBI,2026-08-27,11.18,LOW,1599596.0,178835,262,2,6.79022095793241,9.42,LOW,2684
MAHARASHTRA,RATNAGIRI,2026-09-04,11.15,LOW,1615069.0,180080,409,18,6.837492605499307,9.42,LOW,2684
JHARKHAND,BOKARO,2026-08-26,10.32,LOW,2062330.0,212832,122,3,8.08105967466475,9.42,LOW,2684
MAHARASHTRA,YAVATMAL,2026-09-05,9.22,LOW,2772348.0,255610,513,14,9.705305891224333,9.41,LOW,2685
MAHARASHTRA,RAIGAD,2026-08-19,10.07,LOW,2204307.0,221974,348,12,8.42817405382665,9.41,LOW,2685
UTTAR PRADESH,CHITRAKOOT,2026-09-06,12.54,LOW,991730.0,124363,262,4,4.721962976997503,9.41,LOW,2685
MAHARASHTRA,WASHIM,2026-09-10,12.03,LOW,1197160.0,144018,229,12,5.4682475014371335,9.41,LOW,2685
ASSAM,KARBI ANALOG,2026-09-02,12.48,LOW,1008183.0,125821,54,4,4.777322063063795,9.4,LOW,2686
KARNATAKA,RAICHUR,2026-09-04,10.53,LOW,1928812.0,203104,235,35,7.711695347330803,9.4,LOW,2686
BIHAR,MADUBANI,2026-09-08,9.38,LOW,2645209.5,248121,232,2,9.420954591121133,9.4,LOW,2686
ASSAM,KAMRUP RURAL,2026-08-29,12.48,LOW,1008183.0,125821,271,4,4.777322063063795,9.4,LOW,2686
ASSAM,TAMULPUR,2026-08-28,12.48,LOW,1008183.0,125821,141,4,4.777322063063795,9.4,LOW,2686
PUNJAB,PATIALA,2026-08-24,10.58,LOW,1895686.0,200564,167,12,7.615253592455369,9.39,LOW,2687
UTTAR PRADESH,JAUNPUR,2026-08-21,7.32,LOW,4494204.0,328976,262,2,12.490953839331077,9.39,LOW,2687
MEGHALAYA,SOUTH WEST KHASI HILLS,2026-09-05,14.26,LOW,383461.0,54682,262,2,2.076231511849806,9.39,LOW,2687
ASSAM,BAKSA,2026-09-09,12.61,LOW,950075.0,119804,177,4,4.548861417754548,9.39,LOW,2687
CHHATTISGARH,MANENDRAGARH-CHIRMIRI-BHARATPUR,2026-08-29,11.53,LOW,1413199.0,162942,262,2,6.186776544453954,9.39,LOW,2687
ASSAM,BAKSA,2026-08-26,12.61,LOW,950075.0,119804,177,4,4.548861417754548,9.39,LOW,2687
ASSAM,BAKSA,2026-08-29,12.61,LOW,950075.0,119804,177,4,4.548861417754548,9.39,LOW,2687
GUJARAT,NARMADA,2026-08-23,13.61,LOW,590297.0,80339,214,1,3.0504071436761926,9.39,LOW,2687
ASSAM,BAKSA,2026-08-20,12.61,LOW,950075.0,119804,177,4,4.548861417754548,9.39,LOW,2687
UTTAR PRADESH,JAUNPUR,2026-08-20,7.32,LOW,4494204.0,328976,262,2,12.490953839331077,9.39,LOW,2687
MAHARASHTRA,BULDHANA,2026-08-28,10.04,LOW,2204307.0,221312,389,12,8.403038446847304,9.39,LOW,2687
ASSAM,BAKSA,2026-09-07,12.61,LOW,950075.0,119804,177,4,4.548861417754548,9.39,LOW,2687
ASSAM,BAKSA,2026-09-06,12.61,LOW,950075.0,119804,177,4,4.548861417754548,9.39,LOW,2687
ASSAM,BAKSA,2026-09-03,12.61,LOW,950075.0,119804,177,4,4.548861417754548,9.39,LOW,2687
ASSAM,BAKSA,2026-09-10,12.61,LOW,950075.0,119804,177,4,4.548861417754548,9.39,LOW,2687
ASSAM,BAKSA,2026-08-27,12.61,LOW,950075.0,119804,177,4,4.548861417754548,9.39,LOW,2687
ASSAM,BAKSA,2026-09-11,12.61,LOW,950075.0,119804,177,4,4.548861417754548,9.39,LOW,2687
MAHARASHTRA,BULDHANA,2026-08-29,10.04,LOW,2204307.0,221312,389,12,8.403038446847304,9.39,LOW,2687
ASSAM,BAKSA,2026-08-30,12.61,LOW,950075.0,119804,177,4,4.548861417754548,9.39,LOW,2687
UTTAR PRADESH,JAUNPUR,2026-09-05,7.32,LOW,4494204.0,328976,262,2,12.490953839331077,9.39,LOW,2687
GUJARAT,TAPI,2026-08-25,12.98,LOW,807022.0,104751,256,5,3.9773111279356823,9.38,LOW,2688
ODISHA,KORAPUT,2026-09-04,11.03,LOW,1648902.0,181874,262,3,6.905609341029437,9.38,LOW,2688
CHHATTISGARH,DURG,2026-08-21,8.46,LOW,3343872.0,282892,262,4,10.741181464654098,9.37,LOW,2689
TELANGANA,JAGTIAL,2026-08-30,11.02,LOW,1648902.0,181709,680,4,6.899344423882016,9.37,LOW,2689
MAHARASHTRA,PARBHANI,2026-08-25,10.66,LOW,1836086.0,195727,231,2,7.431596597048882,9.37,LOW,2689
NAGALAND,PEREN,2026-08-25,15.24,LOW,95219.0,14511,262,2,0.5509709862194605,9.36,LOW,2690
MIZORAM,LUNGLEI,2026-08-25,14.99,LOW,161428.0,24198,262,2,0.9187785765652612,9.36,LOW,2690
HIMACHAL PRADESH,BILAASPUR,2026-08-28,13.76,LOW,529855.0,72908,262,15,2.768258056873297,9.36,LOW,2690
JHARKHAND,SIMDEGA,2026-08-31,13.55,LOW,599578.0,81243,162,3,3.084731295805087,9.36,LOW,2690
RAJASTHAN,NAGAUR,2026-08-27,8.49,LOW,3307743.0,280827,732,3,10.662775077324266,9.36,LOW,2690
UTTAR PRADESH,MAHARAJGANJ,2026-08-24,9.46,LOW,2559297.0,242109,262,1,9.192683791786049,9.35,LOW,2691
TRIPURA,KHOWAI,2026-08-25,13.0,LOW,784974.0,102047,26,4,3.874642425107662,9.35,LOW,2691
KARNATAKA,RAICHUR,2026-09-01,10.47,LOW,1928812.0,201947,235,35,7.667764988909198,9.35,LOW,2691
UTTAR PRADESH,AMBEDKARNAGAR,2026-08-23,9.46,LOW,2559297.0,242109,262,4,9.192683791786049,9.35,LOW,2691
KARNATAKA,RAICHUR,2026-08-26,10.47,LOW,1928812.0,201947,235,35,7.667764988909198,9.35,LOW,2691
ANDAMAN & NICOBAR,NORTH & MIDDLE ANDAMAN,2026-08-23,11.0,LOW,1648902.0,181379,37,4,6.886814589587176,9.35,LOW,2691
JAMMU AND KASHMIR,RIASI,2026-09-03,13.57,LOW,588437.5,79851,262,4,3.031878176597763,9.35,LOW,2691
HIMACHAL PRADESH,KANGRA,2026-09-11,11.27,LOW,1510075.0,170185,262,78,6.461787422628273,9.35,LOW,2691
TELANGANA,PEDDAPALLE,2026-08-25,10.99,LOW,1648902.0,181214,680,4,6.880549672439757,9.35,LOW,2691
ODISHA,KANDHAMAL,2026-08-22,10.99,LOW,1648902.0,181214,262,4,6.880549672439757,9.35,LOW,2691
TAMIL NADU,TENKASI,2026-08-22,9.91,LOW,2251744.0,223148,262,32,8.472749888560413,9.34,LOW,2692
RAJASTHAN,ALWAR,2026-08-19,8.06,LOW,3674179.0,296139,613,12,11.244159388604835,9.33,LOW,2693
RAJASTHAN,ALWAR,2026-09-07,8.06,LOW,3674179.0,296139,613,12,11.244159388604835,9.33,LOW,2693
NAGALAND,PHEK,2026-08-26,14.94,LOW,163418.0,24415,262,1,0.9270178918439892,9.33,LOW,2693
PUNJAB,PATIALA,2026-09-07,10.51,LOW,1895686.0,199237,167,12,7.56486847091218,9.33,LOW,2693
MADHYA PRADESH,JABALPUR,2026-08-28,9.58,LOW,2463289.0,235983,190,3,8.96008450424002,9.33,LOW,2693
ODISHA,KALAHANDI,2026-09-03,10.97,LOW,1648902.0,180885,262,4,6.868057807339749,9.33,LOW,2693
TAMIL NADU,COIMBATORE,2026-08-20,8.29,LOW,3458045.0,286672,262,92,10.884705021122263,9.33,LOW,2693
KARNATAKA,RAICHUR,2026-09-06,10.45,LOW,1928812.0,201561,235,35,7.653108879703718,9.33,LOW,2693
MADHYA PRADESH,SHAHDOL,2026-09-04,12.25,LOW,1066063.0,130593,288,2,4.958511060806147,9.33,LOW,2693
HARYANA,PALWAL,2026-09-06,12.3,LOW,1042708.0,128253,100,3,4.869663144897282,9.33,LOW,2693
BIHAR,GAYA,2026-09-04,7.36,LOW,4391418.0,323208,486,38,12.271947523535204,9.32,LOW,2694
UTTAR PRADESH,SANTKABIRNAGAR,2026-08-23,9.43,LOW,2559297.0,241342,262,4,9.163561419349254,9.32,LOW,2694
TELANGANA,J. BHUPALPALLY,2026-09-07,10.96,LOW,1648902.0,180720,680,4,6.861792890192329,9.32,LOW,2694
KARNATAKA,HAVERI,2026-08-27,11.06,LOW,1597668.0,176702,346,5,6.709232665353945,9.32,LOW,2694
UTTAR PRADESH,SULTANPUR,2026-08-22,7.92,LOW,3797117.0,300732,262,5,11.418551900472108,9.32,LOW,2694
JHARKHAND,BOKARO,2026-08-28,10.2,LOW,2062330.0,210358,122,3,7.987123886648284,9.31,LOW,2695
ANDHRA PRADESH,YSR DISTRICT,2026-08-23,7.66,LOW,4053463.0,310495,640,40,11.789245149625206,9.31,LOW,2695
MEGHALAYA,SOUTH GARO HILLS,2026-09-05,14.98,LOW,142334.0,21322,262,2,0.8095791722259895,9.31,LOW,2695
MADHYA PRADESH,BALAGHAT,2026-08-30,10.84,LOW,1701698.0,184464,290,4,7.003949555646513,9.31,LOW,2695
MAHARASHTRA,NASIK,2026-09-08,9.96,LOW,2204307.0,219549,716,12,8.336098756356993,9.31,LOW,2695
KARNATAKA,CHITRADURGA,2026-08-19,10.93,LOW,1659456.0,181379,389,4,6.886814589587176,9.31,LOW,2695
RAJASTHAN,ALWAR,2026-09-03,8.04,LOW,3674179.0,295404,613,12,11.216252030402693,9.31,LOW,2695
ASSAM,HAILAKANDI,2026-08-30,13.28,LOW,659296.0,87555,87,4,3.3243928535900253,9.3,LOW,2696
ODISHA,PURI,2026-08-28,10.94,LOW,1648902.0,180390,262,27,6.849263055897489,9.3,LOW,2696
MADHYA PRADESH,JABALPUR,2026-09-04,9.55,LOW,2463289.0,235244,190,3,8.932025269258546,9.3,LOW,2696
TAMIL NADU,SALEM,2026-09-07,8.24,LOW,3482056.0,286921,262,77,10.894159350635642,9.3,LOW,2696
UTTAR PRADESH,CHITRAKOOT,2026-09-08,12.38,LOW,991730.0,122776,262,4,4.6617058647977725,9.29,LOW,2697
TRIPURA,WEST TRIPURA,2026-09-09,10.78,LOW,1725739.0,186035,12,8,7.063599160728917,9.29,LOW,2697
MADHYA PRADESH,BALAGHAT,2026-08-19,10.82,LOW,1701698.0,184124,290,4,6.991040029403345,9.29,LOW,2697
ODISHA,DHENKANAL,2026-08-25,10.91,LOW,1648902.0,179895,262,44,6.83046830445523,9.28,LOW,2698
MAHARASHTRA,CHANDRAPUR,2026-09-10,9.93,LOW,2204307.0,218888,319,37,8.311001118572479,9.28,LOW,2698
GUJARAT,SURENDRANAGAR,2026-08-28,10.71,LOW,1756268.0,188096,284,5,7.141853671279417,9.28,LOW,2698
GUJARAT,SURENDRANAGAR,2026-09-03,10.71,LOW,1756268.0,188096,284,5,7.141853671279417,9.28,LOW,2698
GUJARAT,SURENDRANAGAR,2026-08-29,10.71,LOW,1756268.0,188096,284,5,7.141853671279417,9.28,LOW,2698
GUJARAT,SURENDRANAGAR,2026-09-04,10.71,LOW,1756268.0,188096,284,5,7.141853671279417,9.28,LOW,2698
GUJARAT,SURENDRANAGAR,2026-09-07,10.71,LOW,1756268.0,188096,284,5,7.141853671279417,9.28,LOW,2698
PUNJAB,JALANDHAR,2026-08-20,9.94,LOW,2193590.0,218043,123,16,8.278917148938723,9.28,LOW,2698
GUJARAT,SURENDRANAGAR,2026-08-31,10.71,LOW,1756268.0,188096,284,5,7.141853671279417,9.28,LOW,2698
GUJARAT,SURENDRANAGAR,2026-08-20,10.71,LOW,1756268.0,188096,284,5,7.141853671279417,9.28,LOW,2698
GUJARAT,SURENDRANAGAR,2026-09-09,10.71,LOW,1756268.0,188096,284,5,7.141853671279417,9.28,LOW,2698
GUJARAT,SURENDRANAGAR,2026-08-25,10.71,LOW,1756268.0,188096,284,5,7.141853671279417,9.28,LOW,2698
GUJARAT,SURENDRANAGAR,2026-09-05,10.71,LOW,1756268.0,188096,284,5,7.141853671279417,9.28,LOW,2698
GUJARAT,SURENDRANAGAR,2026-09-01,10.71,LOW,1756268.0,188096,284,5,7.141853671279417,9.28,LOW,2698
GUJARAT,SURENDRANAGAR,2026-08-22,10.71,LOW,1756268.0,188096,284,5,7.141853671279417,9.28,LOW,2698
GUJARAT,SURENDRANAGAR,2026-09-06,10.71,LOW,1756268.0,188096,284,5,7.141853671279417,9.28,LOW,2698
GUJARAT,SURENDRANAGAR,2026-08-19,10.71,LOW,1756268.0,188096,284,5,7.141853671279417,9.28,LOW,2698
GUJARAT,SURENDRANAGAR,2026-08-26,10.71,LOW,1756268.0,188096,284,5,7.141853671279417,9.28,LOW,2698
GUJARAT,SURENDRANAGAR,2026-08-21,10.71,LOW,1756268.0,188096,284,5,7.141853671279417,9.28,LOW,2698
GUJARAT,SURENDRANAGAR,2026-08-24,10.71,LOW,1756268.0,188096,284,5,7.141853671279417,9.28,LOW,2698
